target,common_lengths,n_D_unique_common,n_L_unique_common,exact_overlap_all_common,reverse_overlap_all_common,exact_overlap_top100_common,reverse_overlap_top100_common,top100_same_length_mean_nn_identity,top100_same_length_median_nn_identity,top100_same_length_p90_nn_identity,top100_same_length_max_nn_identity,top100_same_length_rev_mean_nn_identity,top100_same_length_rev_median_nn_identity,top100_same_length_rev_p90_nn_identity,top100_same_length_rev_max_nn_identity,aa_jsd_top100
PDL1,8;10;11;12;14;15;17;20,1676,1404,0,0,0,0,0.28095385522630106,0.26666666666666666,0.4,0.6,0.2102801120448179,0.2,0.29411764705882354,0.4,0.19672037451290628
MDM2,7;8;9;10;11;12;14;15;17;19,1804,2524,0,0,0,0,0.4095407990657478,0.4444444444444444,0.625,0.875,0.4385963113678124,0.4444444444444444,0.6416666666666669,0.7777777777777778,0.23849178854594835
IL23R,17;19;22;25;28,1262,1872,0,0,0,0,0.18923028024606972,0.17857142857142858,0.2740259740259741,0.4090909090909091,0.19615167464114833,0.17857142857142858,0.2857142857142857,0.3684210526315789,0.25106788256284185
